'sample interval','MLII','V1'
'0.00277778 sec','mV','mV'
0,-0.285,0.050
1,-0.285,0.050
2,-0.285,0.050
3,-0.285,0.050
4,-0.285,0.050
5,-0.285,0.050
6,-0.285,0.050
7,-0.285,0.050
8,-0.290,0.050
9,-0.280,0.050
10,-0.300,0.055
11,-0.305,0.035
12,-0.320,0.015
13,-0.325,0.035
14,-0.315,0.055
15,-0.285,0.075
16,-0.285,0.065
17,-0.310,0.050
18,-0.320,0.035
19,-0.340,0.050
20,-0.325,0.075
21,-0.310,0.080
22,-0.315,0.080
23,-0.325,0.070
24,-0.335,0.065
25,-0.335,0.065
26,-0.305,0.085
27,-0.305,0.095
28,-0.305,0.085
29,-0.310,0.080
30,-0.325,0.070
31,-0.325,0.075
32,-0.320,0.085
33,-0.310,0.090
34,-0.295,0.085
35,-0.305,0.080
36,-0.315,0.060
37,-0.330,0.070
38,-0.335,0.080
39,-0.295,0.100
40,-0.300,0.085
41,-0.320,0.065
42,-0.330,0.055
43,-0.345,0.060
44,-0.340,0.080
45,-0.335,0.090
46,-0.325,0.070
47,-0.335,0.055
48,-0.340,0.040
49,-0.355,0.045
50,-0.330,0.050
51,-0.315,0.050
52,-0.305,0.050
53,-0.305,0.040
54,-0.330,0.025
55,-0.325,0.020
56,-0.310,0.030
57,-0.300,0.045
58,-0.290,0.035
59,-0.310,0.025
60,-0.320,-0.005
61,-0.325,0.010
62,-0.320,0.020
63,-0.290,0.030
64,-0.290,0.020
65,-0.295,0.005
66,-0.330,-0.010
67,-0.315,-0.010
68,-0.290,0.000
69,-0.270,0.005
70,-0.270,-0.020
71,-0.280,-0.030
72,-0.290,-0.050
73,-0.295,-0.055
74,-0.275,-0.060
75,-0.265,-0.045
76,-0.255,-0.050
77,-0.260,-0.065
78,-0.270,-0.085
79,-0.275,-0.100
80,-0.275,-0.100
81,-0.235,-0.075
82,-0.235,-0.085
83,-0.235,-0.095
84,-0.250,-0.105
85,-0.240,-0.105
86,-0.225,-0.105
87,-0.210,-0.115
88,-0.200,-0.110
89,-0.200,-0.125
90,-0.195,-0.135
91,-0.200,-0.145
92,-0.175,-0.145
93,-0.160,-0.125
94,-0.155,-0.125
95,-0.175,-0.135
96,-0.150,-0.130
97,-0.160,-0.130
98,-0.140,-0.110
99,-0.120,-0.105
100,-0.110,-0.115
101,-0.120,-0.115
102,-0.140,-0.110
103,-0.140,-0.100
104,-0.125,-0.055
105,-0.110,-0.035
106,-0.120,-0.020
107,-0.140,-0.025
108,-0.150,-0.005
109,-0.155,0.010
110,-0.145,0.040
111,-0.140,0.070
112,-0.140,0.080
113,-0.185,0.080
114,-0.185,0.080
115,-0.200,0.095
116,-0.185,0.095
117,-0.170,0.110
118,-0.175,0.100
119,-0.210,0.080
120,-0.220,0.065
121,-0.230,0.075
122,-0.215,0.085
123,-0.200,0.100
124,-0.210,0.085
125,-0.225,0.070
126,-0.245,0.065
127,-0.225,0.070
128,-0.230,0.090
129,-0.220,0.110
130,-0.215,0.095
131,-0.225,0.080
132,-0.245,0.065
133,-0.245,0.080
134,-0.215,0.075
135,-0.210,0.095
136,-0.210,0.085
137,-0.210,0.090
138,-0.225,0.085
139,-0.220,0.090
140,-0.215,0.105
141,-0.210,0.110
142,-0.210,0.085
143,-0.215,0.090
144,-0.230,0.075
145,-0.225,0.080
146,-0.220,0.090
147,-0.205,0.100
148,-0.200,0.100
149,-0.210,0.085
150,-0.210,0.075
151,-0.215,0.080
152,-0.210,0.090
153,-0.175,0.105
154,-0.170,0.080
155,-0.175,0.060
156,-0.205,0.075
157,-0.215,0.075
158,-0.210,0.075
159,-0.180,0.070
160,-0.175,0.055
161,-0.180,0.050
162,-0.195,0.045
163,-0.190,0.055
164,-0.205,0.055
165,-0.190,0.050
166,-0.205,0.030
167,-0.195,0.015
168,-0.195,0.005
169,-0.200,0.005
170,-0.195,0.010
171,-0.185,0.030
172,-0.185,0.025
173,-0.190,0.030
174,-0.205,0.015
175,-0.205,0.030
176,-0.205,0.040
177,-0.190,0.050
