'sample interval','MLII','V1'
'0.00277778 sec','mV','mV'
0,-0.105,0.190
1,-0.105,0.190
2,-0.105,0.190
3,-0.105,0.190
4,-0.105,0.190
5,-0.105,0.190
6,-0.105,0.190
7,-0.105,0.190
8,-0.125,0.190
9,-0.145,0.220
10,-0.150,0.225
11,-0.175,0.250
12,-0.195,0.225
13,-0.205,0.210
14,-0.200,0.210
15,-0.200,0.220
16,-0.195,0.230
17,-0.200,0.230
18,-0.200,0.215
19,-0.210,0.210
20,-0.210,0.215
21,-0.190,0.225
22,-0.190,0.230
23,-0.200,0.240
24,-0.215,0.230
25,-0.225,0.220
26,-0.225,0.225
27,-0.210,0.230
28,-0.210,0.255
29,-0.230,0.270
30,-0.245,0.270
31,-0.260,0.265
32,-0.255,0.260
33,-0.245,0.285
34,-0.230,0.295
35,-0.245,0.295
36,-0.280,0.295
37,-0.255,0.280
38,-0.165,0.275
39,-0.015,0.225
40,0.160,0.110
41,0.375,-0.040
42,0.645,-0.175
43,0.985,-0.270
44,1.370,-0.350
45,1.725,-0.395
46,1.935,-0.395
47,1.895,-0.330
48,1.625,-0.225
49,1.280,-0.120
50,0.915,-0.015
51,0.550,0.090
52,0.260,0.120
53,0.045,0.110
54,-0.110,0.105
55,-0.210,0.115
56,-0.255,0.140
57,-0.260,0.190
58,-0.235,0.220
59,-0.235,0.225
60,-0.270,0.205
61,-0.290,0.205
62,-0.305,0.230
63,-0.295,0.240
64,-0.295,0.265
65,-0.300,0.255
66,-0.330,0.240
67,-0.335,0.225
68,-0.325,0.240
69,-0.325,0.250
70,-0.315,0.260
71,-0.320,0.260
72,-0.330,0.260
73,-0.330,0.240
74,-0.325,0.240
75,-0.315,0.265
76,-0.320,0.260
77,-0.325,0.260
78,-0.325,0.245
79,-0.340,0.245
80,-0.325,0.240
81,-0.300,0.255
82,-0.300,0.265
83,-0.315,0.260
84,-0.320,0.235
85,-0.335,0.235
86,-0.330,0.240
87,-0.305,0.260
88,-0.300,0.260
89,-0.310,0.270
90,-0.325,0.250
91,-0.335,0.235
92,-0.315,0.240
93,-0.295,0.240
94,-0.310,0.255
95,-0.310,0.250
96,-0.325,0.215
97,-0.315,0.200
98,-0.300,0.215
99,-0.290,0.225
100,-0.275,0.230
101,-0.275,0.215
102,-0.285,0.195
103,-0.290,0.185
104,-0.275,0.185
105,-0.260,0.190
106,-0.245,0.200
107,-0.255,0.185
108,-0.255,0.165
109,-0.255,0.150
110,-0.230,0.140
111,-0.210,0.145
112,-0.180,0.150
113,-0.170,0.140
114,-0.170,0.110
115,-0.170,0.090
116,-0.165,0.095
117,-0.130,0.090
118,-0.110,0.085
119,-0.110,0.075
120,-0.110,0.065
121,-0.105,0.035
122,-0.095,0.040
123,-0.080,0.060
124,-0.050,0.050
125,-0.050,0.055
126,-0.050,0.040
127,-0.050,0.030
128,-0.040,0.025
129,-0.020,0.045
130,-0.015,0.070
131,-0.020,0.080
132,-0.045,0.070
133,-0.050,0.085
134,-0.050,0.095
135,-0.035,0.120
136,-0.045,0.150
137,-0.065,0.165
138,-0.105,0.180
139,-0.115,0.160
140,-0.120,0.185
141,-0.110,0.215
142,-0.115,0.245
143,-0.150,0.230
144,-0.180,0.240
145,-0.195,0.235
146,-0.195,0.245
147,-0.195,0.260
148,-0.195,0.275
149,-0.215,0.280
150,-0.245,0.275
151,-0.250,0.255
152,-0.245,0.265
153,-0.235,0.280
154,-0.235,0.295
155,-0.235,0.290
156,-0.260,0.270
157,-0.270,0.260
158,-0.255,0.270
159,-0.240,0.290
160,-0.245,0.295
161,-0.260,0.285
162,-0.285,0.270
163,-0.290,0.265
164,-0.265,0.275
165,-0.250,0.295
166,-0.255,0.300
167,-0.255,0.300
168,-0.270,0.280
169,-0.280,0.270
170,-0.260,0.280
171,-0.245,0.305
172,-0.245,0.300
173,-0.245,0.290
174,-0.270,0.275
175,-0.260,0.265
176,-0.240,0.265
177,-0.235,0.280
178,-0.240,0.305
179,-0.250,0.305
180,-0.255,0.285
181,-0.250,0.260
182,-0.225,0.280
183,-0.190,0.280
184,-0.190,0.270
185,-0.195,0.250
186,-0.195,0.225
187,-0.165,0.195
188,-0.130,0.180
189,-0.065,0.165
190,-0.020,0.115
191,-0.005,0.080
192,0.040,0.015
193,0.115,-0.040
194,0.225,-0.100
195,0.330,-0.160
196,0.415,-0.245
197,0.470,-0.320
198,0.530,-0.410
199,0.625,-0.465
200,0.770,-0.550
201,0.890,-0.600
202,1.000,-0.660
203,1.070,-0.725
204,1.155,-0.785
205,1.265,-0.825
206,1.400,-0.855
207,1.535,-0.870
208,1.660,-0.875
209,1.705,-0.885
210,1.675,-0.860
211,1.600,-0.800
212,1.525,-0.725
213,1.470,-0.625
214,1.405,-0.535
215,1.310,-0.450
216,1.225,-0.345
217,1.195,-0.250
218,1.150,-0.165
219,1.085,-0.100
220,1.010,-0.065
221,0.935,-0.055
222,0.875,-0.045
223,0.885,-0.055
224,0.900,-0.040
225,0.875,-0.045
226,0.760,-0.065
227,0.605,-0.060
228,0.455,-0.045
229,0.280,-0.005
230,0.125,0.070
231,-0.070,0.165
232,-0.245,0.255
233,-0.400,0.335
234,-0.490,0.365
235,-0.510,0.410
236,-0.545,0.420
237,-0.595,0.460
238,-0.635,0.465
239,-0.655,0.480
240,-0.675,0.485
241,-0.685,0.495
242,-0.705,0.505
243,-0.720,0.525
244,-0.720,0.525
245,-0.735,0.535
246,-0.750,0.535
247,-0.765,0.550
248,-0.750,0.545
249,-0.770,0.570
250,-0.795,0.595
251,-0.795,0.600
