'sample interval','MLII','V1'
'0.00277778 sec','mV','mV'
0,0.000,0.125
1,0.000,0.125
2,0.000,0.125
3,0.000,0.125
4,0.000,0.125
5,0.000,0.125
6,0.000,0.125
7,0.000,0.125
8,0.000,0.125
9,0.005,0.130
10,0.015,0.145
11,0.025,0.170
12,0.035,0.160
13,0.035,0.140
14,0.015,0.135
15,0.015,0.130
16,0.025,0.140
17,0.050,0.145
18,0.060,0.140
19,0.055,0.120
20,0.040,0.115
21,0.045,0.125
22,0.065,0.130
23,0.085,0.125
24,0.095,0.110
25,0.085,0.105
26,0.085,0.080
27,0.085,0.090
28,0.105,0.105
29,0.125,0.100
30,0.135,0.085
31,0.135,0.070
32,0.135,0.060
33,0.145,0.060
34,0.150,0.060
35,0.175,0.070
36,0.195,0.045
37,0.200,0.020
38,0.180,0.015
39,0.190,0.015
40,0.215,0.030
41,0.255,0.035
42,0.270,0.025
43,0.275,0.005
44,0.265,0.005
45,0.270,-0.005
46,0.280,0.000
47,0.305,0.015
48,0.325,0.000
49,0.320,0.000
50,0.325,-0.015
51,0.320,0.005
52,0.335,0.005
53,0.350,0.030
54,0.355,0.015
55,0.335,0.010
56,0.325,0.015
57,0.315,0.030
58,0.315,0.040
59,0.310,0.080
60,0.290,0.075
61,0.265,0.070
62,0.235,0.075
63,0.215,0.090
64,0.195,0.120
65,0.180,0.130
66,0.170,0.110
67,0.140,0.090
68,0.105,0.095
69,0.085,0.105
70,0.090,0.110
71,0.085,0.120
72,0.075,0.125
73,0.045,0.105
74,0.010,0.110
75,-0.010,0.120
76,-0.010,0.135
77,0.005,0.145
78,0.005,0.130
79,-0.015,0.115
80,-0.030,0.115
81,-0.045,0.125
82,-0.045,0.125
83,-0.025,0.140
84,-0.030,0.135
85,-0.030,0.110
86,-0.050,0.105
87,-0.070,0.115
88,-0.050,0.125
89,-0.040,0.145
90,-0.035,0.135
91,-0.050,0.120
92,-0.070,0.120
93,-0.070,0.120
94,-0.060,0.140
95,-0.045,0.145
96,-0.045,0.130
97,-0.060,0.115
98,-0.060,0.115
99,-0.075,0.115
100,-0.050,0.130
101,-0.040,0.140
102,-0.030,0.145
103,-0.035,0.130
104,-0.060,0.130
105,-0.085,0.145
106,-0.065,0.150
107,-0.045,0.170
108,-0.045,0.165
109,-0.050,0.155
110,-0.065,0.140
111,-0.075,0.140
112,-0.060,0.150
113,-0.055,0.155
114,-0.050,0.150
115,-0.060,0.145
116,-0.080,0.140
117,-0.085,0.155
118,-0.075,0.175
119,-0.045,0.175
120,-0.040,0.165
121,-0.055,0.155
122,-0.060,0.140
123,-0.075,0.140
124,-0.065,0.165
125,-0.060,0.185
126,-0.055,0.165
127,-0.055,0.155
128,-0.075,0.135
129,-0.070,0.145
130,-0.050,0.155
131,-0.045,0.165
132,-0.045,0.155
133,-0.055,0.140
134,-0.070,0.135
135,-0.080,0.135
136,-0.075,0.160
137,-0.055,0.185
138,-0.045,0.160
139,-0.060,0.160
140,-0.070,0.155
141,-0.085,0.150
142,-0.065,0.160
143,-0.050,0.175
144,-0.050,0.165
145,-0.050,0.155
146,-0.065,0.135
147,-0.075,0.160
148,-0.060,0.170
149,-0.050,0.180
150,-0.040,0.185
151,-0.050,0.165
152,-0.070,0.155
153,-0.065,0.150
154,-0.060,0.165
155,-0.065,0.170
156,-0.055,0.165
157,-0.055,0.150
158,-0.080,0.150
159,-0.080,0.155
160,-0.065,0.175
161,-0.055,0.175
162,-0.040,0.185
163,-0.045,0.155
164,-0.065,0.145
165,-0.080,0.150
166,-0.070,0.160
167,-0.060,0.165
168,-0.060,0.175
169,-0.070,0.165
170,-0.065,0.150
171,-0.085,0.155
172,-0.050,0.175
173,-0.045,0.175
174,-0.050,0.165
175,-0.055,0.145
176,-0.070,0.145
177,-0.070,0.140
178,-0.050,0.155
179,-0.050,0.170
180,-0.035,0.180
181,-0.045,0.160
182,-0.065,0.150
183,-0.065,0.160
184,-0.060,0.170
185,-0.055,0.175
186,-0.055,0.175
187,-0.055,0.155
188,-0.065,0.155
189,-0.055,0.155
190,-0.050,0.185
191,-0.040,0.190
192,-0.035,0.185
193,-0.040,0.165
194,-0.060,0.155
195,-0.065,0.160
196,-0.065,0.170
197,-0.045,0.180
198,-0.055,0.175
199,-0.055,0.155
200,-0.060,0.140
201,-0.065,0.160
202,-0.070,0.180
203,-0.050,0.195
204,-0.040,0.175
205,-0.050,0.165
206,-0.060,0.145
207,-0.065,0.155
208,-0.050,0.150
209,-0.025,0.175
210,-0.030,0.170
211,-0.045,0.150
212,-0.055,0.160
213,-0.065,0.160
214,-0.050,0.170
215,-0.045,0.170
216,-0.040,0.155
217,-0.045,0.140
218,-0.050,0.150
219,-0.065,0.145
220,-0.055,0.170
221,-0.030,0.190
222,-0.040,0.180
223,-0.035,0.165
224,-0.040,0.135
225,-0.055,0.160
226,-0.050,0.165
227,-0.020,0.170
228,-0.030,0.165
229,-0.045,0.145
230,-0.050,0.150
231,-0.050,0.145
232,-0.040,0.160
233,-0.025,0.180
234,-0.030,0.165
235,-0.035,0.145
236,-0.055,0.140
237,-0.035,0.140
238,-0.030,0.170
239,-0.020,0.175
240,-0.025,0.180
241,-0.025,0.155
242,-0.035,0.155
243,-0.040,0.160
244,-0.025,0.180
245,-0.015,0.170
246,-0.020,0.170
247,-0.030,0.165
248,-0.035,0.160
249,-0.050,0.165
250,-0.025,0.180
251,-0.015,0.185
252,-0.020,0.190
253,-0.020,0.150
254,-0.040,0.135
255,-0.050,0.135
256,-0.025,0.150
257,-0.020,0.145
258,-0.005,0.145
259,-0.020,0.135
260,-0.025,0.120
261,-0.025,0.135
262,-0.020,0.150
263,-0.005,0.170
264,-0.010,0.155
265,-0.010,0.145
266,-0.040,0.140
267,-0.025,0.140
268,-0.015,0.155
269,-0.005,0.165
270,0.005,0.155
271,-0.010,0.135
272,-0.030,0.130
273,-0.030,0.130
274,-0.020,0.140
275,-0.005,0.155
276,-0.010,0.135
277,-0.025,0.125
278,-0.035,0.105
279,-0.035,0.120
280,-0.010,0.125
281,-0.005,0.150
282,0.000,0.140
283,-0.005,0.135
284,-0.025,0.130
285,-0.020,0.150
286,-0.020,0.170
287,-0.010,0.195
288,0.000,0.185
289,-0.020,0.170
290,-0.035,0.165
291,-0.045,0.185
292,-0.040,0.200
293,-0.015,0.215
294,0.000,0.180
295,0.015,0.170
296,0.025,0.135
297,0.015,0.145
298,0.045,0.160
299,0.045,0.175
300,0.060,0.165
301,0.050,0.155
302,0.025,0.140
303,0.040,0.155
304,0.045,0.160
305,0.050,0.160
306,0.040,0.145
307,0.020,0.135
308,0.005,0.140
309,0.000,0.145
310,-0.010,0.150
311,0.010,0.160
312,-0.005,0.145
313,-0.015,0.135
314,-0.035,0.110
315,-0.035,0.110
316,-0.040,0.130
317,-0.025,0.145
318,-0.005,0.145
319,-0.005,0.125
320,-0.005,0.120
321,-0.025,0.125
322,-0.020,0.130
323,-0.005,0.145
324,-0.010,0.135
325,-0.005,0.125
326,-0.025,0.115
327,-0.015,0.120
328,-0.020,0.140
329,0.015,0.145
330,0.015,0.165
331,0.025,0.175
332,0.025,0.185
333,0.030,0.205
334,0.070,0.200
335,0.100,0.155
336,0.140,0.045
337,0.150,-0.090
338,0.175,-0.225
339,0.235,-0.355
340,0.325,-0.480
341,0.465,-0.630
342,0.590,-0.810
343,0.740,-0.940
344,0.875,-1.020
345,1.005,-0.970
346,1.140,-0.885
347,1.290,-0.780
348,1.415,-0.670
349,1.465,-0.500
350,1.440,-0.330
351,1.300,-0.170
352,1.105,-0.030
353,0.880,0.075
354,0.670,0.110
355,0.470,0.095
356,0.285,0.055
357,0.135,0.025
358,0.065,0.040
359,0.050,0.085
360,0.055,0.105
361,0.065,0.100
362,0.060,0.100
363,0.045,0.130
364,0.030,0.135
365,0.030,0.140
366,0.020,0.140
367,0.000,0.130
368,-0.030,0.115
369,-0.045,0.135
370,-0.045,0.150
371,-0.035,0.165
372,-0.035,0.160
373,-0.055,0.150
374,-0.065,0.150
375,-0.070,0.150
376,-0.065,0.155
377,-0.055,0.160
378,-0.065,0.165
379,-0.055,0.150
380,-0.080,0.145
381,-0.075,0.160
382,-0.085,0.180
383,-0.060,0.180
384,-0.055,0.165
385,-0.065,0.145
386,-0.085,0.120
387,-0.110,0.120
388,-0.080,0.135
389,-0.070,0.145
390,-0.055,0.125
