'sample interval','MLII','V1'
'0.00277778 sec','mV','mV'
0,-0.140,-0.375
1,-0.140,-0.375
2,-0.140,-0.375
3,-0.140,-0.375
4,-0.140,-0.375
5,-0.140,-0.375
6,-0.140,-0.375
7,-0.140,-0.375
8,-0.140,-0.350
9,-0.115,-0.355
10,-0.140,-0.370
11,-0.140,-0.385
12,-0.155,-0.385
13,-0.145,-0.365
14,-0.130,-0.360
15,-0.110,-0.360
16,-0.125,-0.360
17,-0.125,-0.375
18,-0.130,-0.360
19,-0.125,-0.350
20,-0.100,-0.335
21,-0.075,-0.320
22,-0.075,-0.320
23,-0.070,-0.340
24,-0.075,-0.325
25,-0.070,-0.320
26,-0.060,-0.295
27,-0.025,-0.280
28,-0.020,-0.285
29,-0.005,-0.290
30,0.005,-0.300
31,0.050,-0.310
32,0.115,-0.330
33,0.160,-0.360
34,0.170,-0.380
35,0.175,-0.380
36,0.165,-0.390
37,0.170,-0.380
38,0.150,-0.380
39,0.185,-0.380
40,0.135,-0.385
41,0.105,-0.390
42,0.080,-0.390
43,0.065,-0.365
44,0.060,-0.355
45,0.060,-0.345
46,0.015,-0.380
47,-0.025,-0.395
48,-0.070,-0.405
49,-0.090,-0.395
50,-0.120,-0.375
51,-0.130,-0.385
52,-0.120,-0.395
53,-0.150,-0.415
54,-0.170,-0.400
55,-0.175,-0.395
56,-0.165,-0.390
57,-0.145,-0.385
58,-0.155,-0.400
59,-0.160,-0.395
60,-0.160,-0.385
61,-0.150,-0.375
62,-0.140,-0.380
63,-0.120,-0.385
64,-0.140,-0.395
65,-0.155,-0.390
66,-0.155,-0.375
67,-0.135,-0.335
68,-0.130,-0.285
69,-0.110,-0.245
70,-0.105,-0.255
71,-0.130,-0.330
72,-0.140,-0.440
73,-0.140,-0.585
74,-0.140,-0.790
75,-0.100,-1.025
76,0.020,-1.210
77,0.180,-1.345
78,0.380,-1.380
79,0.605,-1.310
80,0.790,-1.195
81,0.895,-1.075
82,0.840,-0.930
83,0.590,-0.780
84,0.225,-0.635
85,-0.055,-0.475
86,-0.185,-0.360
87,-0.190,-0.310
88,-0.195,-0.295
89,-0.160,-0.290
90,-0.135,-0.295
91,-0.125,-0.280
92,-0.100,-0.275
93,-0.100,-0.280
94,-0.120,-0.290
95,-0.135,-0.305
96,-0.155,-0.290
97,-0.150,-0.285
98,-0.125,-0.285
99,-0.105,-0.295
100,-0.100,-0.300
101,-0.115,-0.305
102,-0.125,-0.305
103,-0.120,-0.295
104,-0.100,-0.295
105,-0.095,-0.290
106,-0.105,-0.300
107,-0.115,-0.330
108,-0.120,-0.320
109,-0.110,-0.305
110,-0.105,-0.290
111,-0.095,-0.295
112,-0.095,-0.305
113,-0.110,-0.315
114,-0.110,-0.320
115,-0.105,-0.305
116,-0.090,-0.295
117,-0.085,-0.310
118,-0.090,-0.310
119,-0.115,-0.320
120,-0.105,-0.325
121,-0.090,-0.305
122,-0.085,-0.300
123,-0.085,-0.285
124,-0.085,-0.310
125,-0.090,-0.315
126,-0.100,-0.310
127,-0.095,-0.295
128,-0.080,-0.285
129,-0.060,-0.285
130,-0.075,-0.295
131,-0.080,-0.315
132,-0.085,-0.320
133,-0.075,-0.300
134,-0.070,-0.285
135,-0.055,-0.290
136,-0.070,-0.305
137,-0.085,-0.300
138,-0.080,-0.310
139,-0.085,-0.295
140,-0.055,-0.300
141,-0.040,-0.290
142,-0.050,-0.295
143,-0.065,-0.305
144,-0.060,-0.305
145,-0.065,-0.295
146,-0.050,-0.285
147,-0.035,-0.290
148,-0.045,-0.290
149,-0.045,-0.290
150,-0.045,-0.305
151,-0.045,-0.290
152,-0.030,-0.270
153,-0.035,-0.265
154,-0.020,-0.285
155,-0.040,-0.295
156,-0.050,-0.310
157,-0.055,-0.290
158,-0.030,-0.280
159,-0.025,-0.270
160,-0.030,-0.290
161,-0.055,-0.300
162,-0.055,-0.295
163,-0.050,-0.280
164,-0.040,-0.270
165,-0.040,-0.290
166,-0.050,-0.295
167,-0.065,-0.300
168,-0.085,-0.295
169,-0.080,-0.295
170,-0.080,-0.280
171,-0.070,-0.285
172,-0.070,-0.310
173,-0.080,-0.315
174,-0.090,-0.315
175,-0.090,-0.310
176,-0.095,-0.310
177,-0.090,-0.300
178,-0.090,-0.310
179,-0.115,-0.320
180,-0.135,-0.330
181,-0.115,-0.325
182,-0.105,-0.320
183,-0.100,-0.330
184,-0.110,-0.335
185,-0.125,-0.340
186,-0.140,-0.335
187,-0.140,-0.330
188,-0.120,-0.320
189,-0.115,-0.330
190,-0.130,-0.345
191,-0.135,-0.360
192,-0.150,-0.360
193,-0.145,-0.340
194,-0.130,-0.325
195,-0.130,-0.335
196,-0.145,-0.340
197,-0.150,-0.375
198,-0.160,-0.360
199,-0.150,-0.350
200,-0.130,-0.335
201,-0.125,-0.335
202,-0.125,-0.350
203,-0.155,-0.370
204,-0.155,-0.360
205,-0.155,-0.350
206,-0.140,-0.340
207,-0.125,-0.350
208,-0.130,-0.355
209,-0.135,-0.370
210,-0.150,-0.360
211,-0.155,-0.345
212,-0.135,-0.340
213,-0.130,-0.340
214,-0.135,-0.350
215,-0.140,-0.365
216,-0.165,-0.360
217,-0.150,-0.360
218,-0.135,-0.340
219,-0.125,-0.330
220,-0.145,-0.350
221,-0.150,-0.360
222,-0.160,-0.365
223,-0.155,-0.355
224,-0.135,-0.345
225,-0.140,-0.350
226,-0.150,-0.355
227,-0.145,-0.375
228,-0.160,-0.365
229,-0.155,-0.360
230,-0.150,-0.335
231,-0.130,-0.350
232,-0.125,-0.365
233,-0.145,-0.385
234,-0.150,-0.375
235,-0.145,-0.365
236,-0.135,-0.360
237,-0.120,-0.355
238,-0.130,-0.360
239,-0.130,-0.370
240,-0.150,-0.380
241,-0.130,-0.355
242,-0.125,-0.365
243,-0.110,-0.350
244,-0.120,-0.365
245,-0.135,-0.385
246,-0.140,-0.385
247,-0.130,-0.355
248,-0.115,-0.350
249,-0.105,-0.360
250,-0.110,-0.365
251,-0.115,-0.375
252,-0.125,-0.380
253,-0.125,-0.360
254,-0.105,-0.355
255,-0.100,-0.340
